[AVG.LOG.SM] ALL 2013-04-11 15:50:49,938 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001930384096bAAAb8oMqmn3kqsDFAQe7uEvFR1f0D4kwlFlx0XANi+yoipSq/+kTxuF+NQxrbUQoF+FWE6tO2MChRDM1YGlyDpGqngHtdbmQMLNDwcOZ3vdm9COeh2MwUoZrmqzQ9ermi6709w5OEmujnYt9JhySQj4qZLXXCtgQ2wvoRQ6dpkjo1TmI/ys/50nBza2sLm39ByJ+oVFO7wbq6IQ8hToTigZf04k2+Hr8kBrr9uskM1CU9vftTRvDFr28o03yiscmSEsN2YUoI8TosP7eAl1++7QpIaoqwR2foYeAKm3xnvkmCIRHyAsElY96WK2J3M695RvvFtQ/zkxUZ/na1/v+UUE=
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 19:40:02,665 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aAQ5rhkV9deB/nzAqBID3zw0NToD66x1w
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 19:40:02,665 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aAQ5rhkV9deB/nzAqBID3zw0NToD66x1w
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 19:40:02,665 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aBwx2ImutfpljzlQoClaI6a5vycfzfxYR
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 19:40:10,915 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aBwx2ImutfpljzlQoClaI6a5vycfzfxYR
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 19:40:10,915 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aBUSkb6+TCnMewCGCkE88dmZ/V9rMXtfV
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 19:40:10,915 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aD/kL31ym5W0to66Af6S15p6k6HpbpBLw
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 20:24:37,359 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aBUSkb6+TCnMewCGCkE88dmZ/V9rMXtfV
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 20:24:37,359 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aD/kL31ym5W0to66Af6S15p6k6HpbpBLw
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 20:24:37,359 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aDZragyOS9X5H5uHIeNXhKDDHuperROk1
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 20:24:45,406 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aCYTZzVTLszhD51RANBJbcnoBPHoMH2wC
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 20:24:45,406 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aAQ5rhkV9deB/nzAqBID3zw0NToD66x1w
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 20:24:45,406 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aDMnX3/EW8xpzSyubZEq6Cq7h9aoxwlOf
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 22:04:42,173 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aBwx2ImutfpljzlQoClaI6a5vycfzfxYR
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 22:04:42,173 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aCrCXR/hHky+Bxe3hactKS6NCka8YOxz3
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 22:04:42,173 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aCyImhZBniD7Nqo6N5EY5k5qqU+DlkdEu
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 22:04:58,408 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aAQ5rhkV9deB/nzAqBID3zw0NToD66x1w
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 22:04:58,408 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:508.2799.cc64a62.0 MSG:aBUSkb6+TCnMewCGCkE88dmZ/V9rMXtfV
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-11 22:04:58,408 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:544.2799.cc64a62.0 MSG:aAuF9w98TkPdb1PYPkI3gh7NnAG48vm8a
[AVG.ADVISOR.NetMonitor] ERROR 2013-04-12 16:06:08,280 MAC-AZURE PID:1696 THID:4964 ID:{092539DB-173C-5184-72A3-9B5670B8B322}:407.2799.cc64a62.0 MSG:aALNbh2l60MyA1zF390eIETj6p7t+FZSB
