[AVG.LOG.SM] ALL 2013-04-11 15:50:49,938 MAC-AZURE PID:1696 THID:1700 ID:AVG.LOG.SM:0.0.0.0 MSG:c00000000001930384096bAAAb8oMqmn3kqsDFAQe7uEvFR1f0D4kwlFlx0XANi+yoipSq/+kTxuF+NQxrbUQoF+FWE6tO2MChRDM1YGlyDpGqngHtdbmQMLNDwcOZ3vdm9COeh2MwUoZrmqzQ9ermi6709w5OEmujnYt9JhySQj4qZLXXCtgQ2wvoRQ6dpkjo1TmI/ys/50nBza2sLm39ByJ+oVFO7wbq6IQ8hToTigZf04k2+Hr8kBrr9uskM1CU9vftTRvDFr28o03yiscmSEsN2YUoI8TosP7eAl1++7QpIaoqwR2foYeAKm3xnvkmCIRHyAsElY96WK2J3M695RvvFtQ/zkxUZ/na1/v+UUE=
[AVG.SCAN.SM] INFO 2013-04-13 01:28:38,293 MAC-AZURE PID:1696 THID:7772 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 01:28:38,293 MAC-AZURE PID:1696 THID:7772 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 01:28:38,778 MAC-AZURE PID:1696 THID:7220 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 01:28:38,856 MAC-AZURE PID:1696 THID:7220 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 01:28:39,309 MAC-AZURE PID:1696 THID:7220 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 01:28:39,309 MAC-AZURE PID:1696 THID:7220 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:48,781 MAC-AZURE PID:1696 THID:6388 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:48,890 MAC-AZURE PID:1696 THID:6388 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:49,343 MAC-AZURE PID:1696 THID:6388 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:49,343 MAC-AZURE PID:1696 THID:6388 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:49,937 MAC-AZURE PID:1696 THID:10988 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:49,984 MAC-AZURE PID:1696 THID:10988 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:50,453 MAC-AZURE PID:1696 THID:10988 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-13 16:00:50,453 MAC-AZURE PID:1696 THID:10988 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:40,265 MAC-AZURE PID:1696 THID:10784 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:40,359 MAC-AZURE PID:1696 THID:10784 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:40,828 MAC-AZURE PID:1696 THID:10784 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:40,828 MAC-AZURE PID:1696 THID:10784 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:41,406 MAC-AZURE PID:1696 THID:11176 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:41,468 MAC-AZURE PID:1696 THID:11176 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:41,937 MAC-AZURE PID:1696 THID:11176 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 01:28:41,937 MAC-AZURE PID:1696 THID:11176 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:48,921 MAC-AZURE PID:1696 THID:7660 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:49,078 MAC-AZURE PID:1696 THID:7660 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:49,515 MAC-AZURE PID:1696 THID:7660 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:49,515 MAC-AZURE PID:1696 THID:7660 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:50,015 MAC-AZURE PID:1696 THID:4416 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:50,078 MAC-AZURE PID:1696 THID:4416 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:50,546 MAC-AZURE PID:1696 THID:4416 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-14 16:00:50,546 MAC-AZURE PID:1696 THID:4416 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:37,485 MAC-AZURE PID:1696 THID:3952 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:37,579 MAC-AZURE PID:1696 THID:3952 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:38,032 MAC-AZURE PID:1696 THID:3952 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:38,032 MAC-AZURE PID:1696 THID:3952 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:38,532 MAC-AZURE PID:1696 THID:4764 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:38,594 MAC-AZURE PID:1696 THID:4764 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:39,079 MAC-AZURE PID:1696 THID:4764 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 01:28:39,079 MAC-AZURE PID:1696 THID:4764 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:51,677 MAC-AZURE PID:1696 THID:8140 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:52,380 MAC-AZURE PID:1696 THID:8140 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:52,833 MAC-AZURE PID:1696 THID:8140 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:52,833 MAC-AZURE PID:1696 THID:8140 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:53,255 MAC-AZURE PID:1696 THID:8448 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:458.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:53,318 MAC-AZURE PID:1696 THID:8448 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:409.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:53,787 MAC-AZURE PID:1696 THID:8448 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:416.2851.0a97001.0 MSG:*
[AVG.SCAN.SM] INFO 2013-04-15 16:00:53,787 MAC-AZURE PID:1696 THID:8448 ID:{B6BCD893-53A6-40c1-8DE3-2A8FB9307F54}:424.2851.0a97001.0 MSG:*
